['ibukota pindah pohon', 'pos']
['komisi xi dpr ri panggil menteri ppn kepala bappenas suharso monoarfa agenda jadwal bahas pindah kota', 'pos']
['jabat negeri koq gin knalpot dobol kopi sachet dipalakin gitu gaya pindah kota dobol', 'neg']
['calon kota landa banjir warganet pindah pakde', 'neg']
['ehh nyet bani ebong pindah kota ngaoain ngurusin jkt lg pindah sono gihh', 'neg']
['gmn presiden suka fokus dasar prioritas didik prioritas nomor belastoleransi nomor puluh tigahak asasi manusia nomor puluh tujuyg infrastruktur pindah kota prioritas utama', 'neg']
['kabar baik 2024 pindah kotakabar buruk yg ngomong yg janjiin 2015 ekonomi roket ratus janji palsu', 'neg']
['sedia air bersih kota sorot pindah ko', 'pos']
['lo pindah pantat gak gak otak lo kepala kuasa keropos rocky gerung pindah kepala negara kota', 'pos']
['trus kalo apbn defisit pindah kota gt duh its simple argument bro asli dah gw tau mana arah bicara lo get used to it plus minus lo terima tp babi buta', 'pos']
['la yg ngomong benci ngomong mbok mikir dl jkwe hobi pindah mindahin blm klar pindh lg gak betah jkt pindah kota', 'neg']
['topik kota pindah ga tau depan ibu ibu besan ga', 'pos']
['2024 pindah model cari2 utk kota negara renovasi rumah', 'pos']
['pindah kota negara jalan dlm waktu yg cpt wujud indonesia yg sejahterah kota negara dijakarta sy anggap indonesia cerdas pikir yg pikir jakarta rawan bencana', 'pos']
['terkadang mulus sesuai ekspektasi pindah kota komunikasi jalan silaturahmi manis hubung sederhana tsb bantu rekan2 profesi senang damai', 'pos']
['sambut buka pers nasional jokowi bahas pindah kota negara', 'pos']
['mas suryo he is decision maker he is leader wajar salah salah ambil putus kalo leader ga salah piye bijak ambil putus pindah kota tenaga yg curah biaya yg kuras bangun adaptasi thks', 'pos']
['1 proyek lrt kecep jalan2 gedung2 apartemen jabodetabek 3 hutang meroket4 defisit anggar 5 jalan tol jabodetabek jawa6 lahan kota asai gelintir cukingdsbmasih percaya wacana pindah kota', 'neg']
['teliti kait pindah kota sih akibat kalo tetap pindah riset', 'neg']
['tenang kak kota pindah kalimantan jawa jawa kurang manusia yeayy', 'pos']
['km percaya ga 2 milkita gelas susu km percaya ga kekeyi roy pacar km percaya ga kota indonesia pindah kalimantan bnyak yg ken virus corona tuh indo bnyak bgt sih yg nanya ina ga', 'pos']
['kalo pindah kota kayak males belanja online berat ongkos', 'neg']
['sadar widi putus pindah kota ruang manusia koneksi kota metropolis ruang sempit temu manusia enggan perhati', 'pos']
['perintah pusat dki totalitas satu padu atas banjir dki dg jit kota pindah dki tenggelam depan', 'pos']
['pindah kota proyek prestige 2024 presiden pilih selnjutnya yg terus proyek imposible proyek yg prediksi mangkrak 2024 jadi mukim china', 'neg']
['just published perihal pindah kota negara', 'pos']
['jakarta label kota indonesia yg kota contoh indonesia wajar magnet media kalo yg kota aceh yg diributin aceh mang kota pindah aja gak diributin tahun beres', 'neg']
['selamat pers tvri channel favorit btw kota pindah tvri pindah jakarta buka stasiun tv sana', 'pos']
['cantik keren eh gak pindah kota hehehhe', 'pos']
['mas monas ikon indonesia jakarta doang mari buka wawas mas monas tempat dijakarta krn kota pindah urus krn pindah', 'neg']
['hey pindah kota udah gagas jaman karno sampe bom realisasi soktau sok pinter', 'neg']
['menteri negeri mendagri tito karnavian juni 2020 status dki jakarta kota negara kota negara resmi pindah kalimantan timur fisik', 'pos']
['drpd mikir pindah kota mending fokus roket tumbuh ekonomi sejahtera rakyat utang udah ugal2an kendali sampai2 defisit apbn aja tutup pakai utangekonomi lambat ri nilai kian sulit tekan miskin', 'neg']
['hikmah presiden pindah kota solusi bagus atas banjir', 'neg']
['sarat alam pindah kota krn jkt banjir macet jamin kota bebas banjir macet eh skrg sicalon kota banjir lagibanjir landa kota 379 jiwa dampak', 'neg']
['coba ente saranin jokowi pindah kota aja yg wajib urus ketimbang pindah kota paham ente', 'neg']
['priangan timur deket ka majalengka aya bandara pan sugan we kota jabar pindah ka cirebon majalengka atawa indramayu sugan we ieu mah', 'pos']
['rezim cerdas perhati sektor real masy tani mudah pupuk pindah kota hold singapura resesi ingat sri mulyani ekonomi ri', 'neg']
['bos pindah kota ga bkn sembarang putus buat uu ruu ketua mpr googling aja uu masuk amandemen uud presiden batal uu kota negara', 'neg']
['kelompok orang2 ragu dlm pikir sll pesimis dukung kota perintah pindah kaltim kota negara bandung jawa barat', 'pos']
['lo tau brapa yg anies jakarta banding pindah kota wacana pindah kota gw gk supayabgk jawasentris', 'neg']
['kurleb beda ibukota tender jkt full apbd kota dgn baanyak new kota dgn from zero planning pindah jkw issue mampu perintah ga jalan dgn rencana got the point so', 'pos']
['perintah bentuk tim kebut pindah kota perintah putus unt', 'neg']
['', 'pos']
